gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Alkbh8,3.5402215,-0.150883437,0.196691906,-0.767105466,0.443018812,0.637612177
Allc,0.001386842,1.91739685,2.9796326,0.643501098,0.519899002,NA
Alms1,7.029400113,0.335086137,0.145673921,2.300247939,0.021434177,0.201644527
Alox12,0.009010165,1.517154659,2.978034214,0.509448364,0.610437983,NA
Alox12b,0.001386842,1.91739685,2.9796326,0.643501098,0.519899002,NA
Alox12e,0,NA,NA,NA,NA,NA
Alox15,0,NA,NA,NA,NA,NA
Alox5,0.134343194,1.616323088,1.428502823,1.1314805,0.257852906,NA
Alox5ap,0.066879904,1.002730209,1.572006377,0.637866502,0.523560585,NA
Alox8,0.059789547,1.516010769,1.517410448,0.999077587,0.317757107,NA
Aloxe3,0.26986913,0.769294274,0.629783994,1.22152084,0.22188888,0.451605289
Alpi,0,NA,NA,NA,NA,NA
Alpk1,0.267257888,0.17161836,0.719795246,0.238426637,0.81155021,0.892063851
Alpk2,38.57961009,0.064200456,0.154230284,0.416263619,0.677217111,0.806009579
Alpk3,0.331880572,1.81839068,0.81781389,2.223477374,0.026183627,0.214041906
Alpl,0.092664166,2.088479142,2.020527665,1.03363056,0.301308907,NA
Als2,3.206625179,0.088275918,0.193668421,0.45580956,0.648526929,0.78675337
Als2cl,0.21274765,1.433986631,0.759009075,1.889287859,0.058853268,0.275294318
Als2cr11,0,NA,NA,NA,NA,NA
Als2cr12,0.004905469,1.531421241,2.981406122,0.513657374,0.607491559,NA
Alx1,0.058354742,2.036766757,2.978375459,0.683851578,0.494068893,NA
Alx3,0.033484494,2.048787277,2.979817198,0.687554686,0.491733252,NA
Alx4,0.076671111,1.791149695,1.514579779,1.18260505,0.23696571,NA
Alyref,0.101576874,1.398762499,1.128053302,1.239979083,0.214983131,NA
Alyref2,0.15304213,1.375753979,1.004825236,1.36914752,0.170953167,0.402637831
Amacr,0.262783252,0.890066317,0.632116854,1.408072435,0.159109622,0.391603766
Ambn,0.001828217,1.717878766,2.979467504,0.576572412,0.56422834,NA
Ambp,0.014226215,1.880713314,2.980753975,0.630952212,0.528071771,NA
Ambra1,20.62400821,-0.040691041,0.088826556,-0.458095448,0.646883869,0.785707888
