gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Adcy1,104.3452704,-0.12430694,0.109706562,-1.133085724,0.257178256,0.4612621
Adcy10,15.79389667,0.893791066,0.16073752,5.560562734,2.68906E-08,1.07327E-06
Adcy2,432.9711955,-0.058282082,0.104912523,-0.555530271,0.578532011,0.77936607
Adcy3,70.29645502,0.015786002,0.056340326,0.280190114,0.779331651,0.911494468
Adcy4,0.03946783,-0.081395018,2.979250858,-0.027320632,0.978204001,NA
Adcy5,61.51878468,-0.358493977,0.120240242,-2.981480826,0.00286858,0.014918623
Adcy6,31.51195567,-0.168222612,0.11673632,-1.441047748,0.149571194,0.312900413
Adcy7,29.76132676,0.036114973,0.159521125,0.226396181,0.820893298,0.932436978
Adcy8,550.4926999,-0.185398532,0.09459531,-1.959912524,0.050006016,0.138336542
Adcy9,168.3100777,-0.00986016,0.108461495,-0.090909317,0.927564647,0.974886698
Adcyap1,8.631327546,0.969285234,0.265394215,3.652247034,0.000259956,0.002191939
Adcyap1r1,40.80378838,-0.177618431,0.070662069,-2.513631888,0.011949509,0.045564849
Add1,211.1600047,-0.088901246,0.033634714,-2.643139638,0.008214115,0.034083155
Add2,226.9869575,-0.133704755,0.050247308,-2.660933703,0.00779243,0.032643053
Add3,94.16141127,-0.404422672,0.100101144,-4.040140384,5.34192E-05,0.000601937
Adgb,8.225310465,-0.25226289,0.224031215,-1.1260167,0.260158451,0.464882038
Adgra1,102.5074344,0.004974642,0.076138622,0.065336649,0.947905963,0.982699029
Adgra2,13.36997525,0.243788788,0.142351287,1.712585772,0.086788773,0.209697239
Adgra3,14.290949,-0.194545883,0.166673909,-1.167224578,0.243119688,0.443157137
Adgrb1,106.6704902,-0.432033738,0.120458003,-3.586592243,0.000335028,0.002691682
Adgrb2,42.81097774,-0.344911681,0.114876411,-3.002458707,0.002678083,0.014162292
Adgrb3,2827.198532,-0.220972988,0.064168749,-3.443623121,0.000573975,0.004153734
Adgrd1,8.685832917,0.411293445,0.259797471,1.583131062,0.113391595,0.255491807
Adgrd2-ps,0,NA,NA,NA,NA,NA
Adgre1,1.859415763,0.255353505,0.332085326,0.76893944,0.441929263,0.661023321
Adgre4,1.365049904,0.545401399,0.397787695,1.371086652,0.170347945,0.343948689
Adgre5,1.862848335,0.348680923,0.298414977,1.168443108,0.242628075,0.442550277
Adgrf1,0.665705953,0.403000826,0.514192716,0.783754444,0.43318421,0.653378373
Adgrf2,8.971882236,-0.1671064,0.154834651,-1.079257123,0.280473121,0.488569335
Adgrf3,0.475628255,0.6774515,1.014233957,0.667944013,0.504169331,0.718152697
Adgrf4,4.228646449,0.032590054,0.254462598,0.128074044,0.898090377,0.963563087
Adgrf5,3.258067015,0.05281717,0.400255149,0.131958752,0.895016917,0.963100171
Adgrg1,6.848080461,-0.082118336,0.18818625,-0.436367353,0.662570222,0.840992028
Adgrg2,9.811510812,-0.195105695,0.146582771,-1.331027464,0.183179974,0.362348472
Adgrg3,1.177275758,0.617831492,0.322252412,1.91722845,0.055208915,0.149015982
Adgrg4,4.300490231,0.130659003,0.261171694,0.500280108,0.616877858,0.808924694
Adgrg5,0.129631026,0.593512247,1.416161853,0.419099163,0.675143662,NA
Adgrg6,8.277657107,0.133570996,0.24330573,0.548984177,0.583016309,0.782504483
Adgrg7,0.46417585,1.392757208,0.58532972,2.379440444,0.017338945,0.061107686
Adgrl1,107.6199727,-0.133615429,0.063491093,-2.10447517,0.035337018,0.106168087
Adgrl2,210.7625835,-0.207203395,0.09874994,-2.098263498,0.035881875,0.10740065
Adgrl3,1869.431302,-0.157524328,0.054097868,-2.911839837,0.003593068,0.017802564
Adgrl4,4.660699175,0.44253124,0.347679248,1.272814648,0.203083822,0.390536386
Adgrv1,32.0581259,0.189174247,0.088927172,2.127294098,0.033395655,0.101607862
Adh1,0.207565368,0.289472141,1.41675141,0.204321054,0.838102618,NA
Adh4,0.313434878,0.033569261,0.985689163,0.03405664,0.972831985,NA
Adh5,5.015933232,-0.132368028,0.181646216,-0.72871338,0.466177006,0.684313125
Adh6a,0.146705511,0.485317726,1.229909085,0.394596424,0.693140753,NA
Adh6b,0.096295455,0.219960557,2.981451042,0.073776344,0.941188351,NA
Adh6-ps1,0,NA,NA,NA,NA,NA
Adh7,0.073991554,-0.227058148,2.714850593,-0.083635596,0.933346164,NA
Adhfe1,8.22464302,0.111302312,0.144166182,0.772041753,0.440089699,0.659370494
Adi1,6.211014603,0.89249599,0.195055634,4.575597083,4.74864E-06,8.26418E-05
Adig,1.148099166,1.21482926,0.350712153,3.463892687,0.000532419,0.003911234
Adipoq,0.187062793,-0.014537515,1.502423132,-0.009676046,0.992279753,NA
Adipor1,35.99243568,0.049021598,0.079493862,0.616671486,0.537451432,0.74603863
Adipor2,54.30118675,0.256068032,0.085881439,2.981645791,0.002867035,0.014914063
Adk,186.1841697,-0.218059903,0.055910826,-3.900137386,9.61381E-05,0.000982114
Adm,0.724217843,0.952946122,0.508428981,1.874295443,0.060889715,0.160201703
Adm2,0,NA,NA,NA,NA,NA
Adnp,0,NA,NA,NA,NA,NA
Adnp2,7.816007996,-0.050573319,0.201965457,-0.250405787,0.802273555,0.924222017
Ado,3.424361008,0.147277734,0.163005443,0.903514212,0.366253049,0.586441207
Adora1,34.20457012,-0.160696766,0.117415221,-1.368619538,0.171118233,0.34512898
Adora2a,0.15876144,-0.132501845,1.170722293,-0.113179569,0.909888193,NA
Adora2b,3.276070563,-0.419231813,0.378160485,-1.108608195,0.267599241,0.473353419
Adora3,0,NA,NA,NA,NA,NA
Adpgk,20.0713899,0.038942952,0.072705347,0.535627069,0.592216317,0.789920202
Adprh,11.19388629,0.611210721,0.151872998,4.024485777,5.70999E-05,0.000637935
Adprhl1,0.762431175,0.000482479,0.389021154,0.001240239,0.999010433,0.999734064
Adprhl2,8.931007849,0.071162998,0.245019689,0.290437876,0.771481271,0.908072732
Adprm,22.1780128,0.047101194,0.074048841,0.636082795,0.524722459,0.735508122
Adprs,11.76627344,0.812629286,0.212084761,3.831625069,0.0001273,0.001232183
Adra1a,79.96631185,-0.247240747,0.134768349,-1.834560922,0.066570773,0.171117779
Adra1b,44.67031538,-0.167786116,0.100742742,-1.665490862,0.095814865,0.225427128
Adra1d,0.721028299,-0.187830095,0.367615372,-0.510941895,0.609391744,0.80364932
Adra2a,2.538673513,-0.002212794,0.278841215,-0.007935677,0.993668312,0.99766436
Adra2b,0.017780094,0.403123734,2.977295093,0.135399321,0.892296161,NA
Adra2c,1.853224733,1.741561745,0.375252023,4.64104559,3.46651E-06,6.33425E-05
Adrb1,1.296874585,-0.969142976,0.552383702,-1.754474241,0.07934928,0.195944857
Adrb2,2.719010296,0.070356895,0.156531864,0.449473309,0.653090258,0.8349186
Adrb3,1.642920812,0.474389737,0.251856256,1.883573369,0.059622707,0.158069043
Adrm1,8.01532998,0.402948448,0.202202712,1.992794479,0.046283957,0.13048286
Adrm1b,2.957851912,0.563334389,0.394421803,1.428253672,0.153218857,0.318619249
Adsl,13.43117908,0.445104285,0.139076512,3.200427432,0.001372239,0.008326361
Adss,71.36761269,-0.069507155,0.074456688,-0.933524669,0.350549139,0.56951153
