gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aimp1,7.223256039,0.577393984,0.150490562,3.836745483,0.000124676,0.002353395
Aimp2,0.785657773,0.065698101,0.431179807,0.152368224,0.878896518,0.94662084
Aip,1.265999385,0.42174509,0.375551416,1.123002263,0.261436534,0.502091316
Aipl1,0.021153073,0.742695261,2.981119832,0.249132978,0.803257921,NA
Aire,0,NA,NA,NA,NA,NA
Airn,86.59173532,0.288403714,0.112357686,2.566835643,0.010263125,0.058141473
Ajap1,39.22992523,0.425451994,0.109269488,3.893602886,9.87663E-05,0.001959868
Ajuba,0.108551345,0.199992361,2.981669127,0.067073962,0.946522823,NA
Ak1,1.536597419,-0.57259637,0.29036544,-1.971985266,0.048611289,0.170365443
Ak2,4.463166028,-0.011001772,0.176343933,-0.062388152,0.95025373,0.97733562
Ak3,2.623492751,0.394621287,0.372236671,1.060135443,0.289082986,0.531038637
Ak4,0.804697249,-0.273204357,0.615713413,-0.443720002,0.657245032,0.830658925
Ak5,30.31910766,-0.228717498,0.144836729,-1.579140178,0.114303908,0.298452032
Ak6,4.85800397,0.380913514,0.18059038,2.109268019,0.034921454,0.135514536
Ak7,1.38134737,0.153508656,0.322274164,0.476329391,0.633839729,0.814660609
Ak8,0.777843422,0.045459062,0.442032708,0.102840947,0.918089206,0.964259516
Ak9,1.096295505,0.7383701,0.673515585,1.096292523,0.27295078,0.515020749
Akap1,5.073719878,0.036489887,0.172167726,0.211943828,0.832150858,0.924346824
Akap10,31.70444165,0.00667232,0.077651286,0.08592671,0.931524678,0.969275479
Akap11,28.05911472,0.02617775,0.073625402,0.355553233,0.722175172,0.867797462
Akap12,12.38886838,-0.016352977,0.141668366,-0.115431392,0.908103198,0.960743946
Akap13,18.91904678,-0.366591171,0.10126107,-3.620257709,0.00029431,0.004509706
Akap14,0.396813179,1.082876996,0.576607974,1.878012524,0.060379452,0.198180162
Akap17b,25.43482932,0.005096803,0.095726383,0.053243449,0.957537937,0.979855661
Akap3,0.080461544,0.519413998,2.982432576,0.174157834,0.861741422,NA
Akap4,0,NA,NA,NA,NA,NA
Akap5,3.652955689,0.493953562,0.278825224,1.771552644,0.076468847,0.230743295
Akap6,199.1081513,-0.13711963,0.056388807,-2.431681678,0.015028909,0.075870042
Akap7,21.71651773,0.156169851,0.092530121,1.687773117,0.09145479,0.25935724
Akap8,35.07067637,0.336589755,0.099118837,3.395820275,0.000684233,0.008279563
Akap8l,74.07123323,0.078178833,0.080485,0.971346626,0.331375698,0.572554224
Akap9,88.70316717,-0.044089606,0.101966356,-0.432393661,0.665455325,0.835228745
Akip1,0.352297784,0.370341193,0.757917955,0.488629661,0.62510391,0.808655867
Akirin1,4.76062327,0.47921003,0.156984351,3.052597461,0.0022687,0.020055882
Akirin2,7.158377405,0.141244833,0.195474251,0.722575133,0.469940951,0.696189019
Akna,0.112901994,0.538944368,1.260627613,0.427520675,0.669000129,NA
Aknad1,0.109076592,0.492763025,2.98196034,0.165248014,0.868748775,NA
Aknaos,0,NA,NA,NA,NA,NA
Akp3,0,NA,NA,NA,NA,NA
Akr1a1,8.123761353,0.312587602,0.158039429,1.977908954,0.047938979,0.168752272
Akr1b10,4.353616684,0.400019476,0.247259477,1.617812516,0.105703008,0.28375623
Akr1b3,2.169783932,1.432917342,0.323068332,4.435338282,9.19278E-06,0.000319672
Akr1b7,0.052669028,0.617479751,2.982460562,0.207037021,0.835980946,NA
Akr1b8,0.112247316,-0.100461833,2.17638796,-0.046159892,0.96318281,NA
Akr1c12,0.002776133,0.679797136,2.982748215,0.227909662,0.819716472,NA
Akr1c13,0,NA,NA,NA,NA,NA
Akr1c14,0.075955648,0.211831185,2.982127444,0.071033579,0.943371031,NA
Akr1c18,0.03732693,0.711715092,2.980157994,0.238817906,0.811246785,NA
Akr1c19,0.03312625,0.176161272,2.98235895,0.059067763,0.952898135,NA
Akr1c20,0.059819147,0.799731236,2.979533009,0.268408249,0.788385091,NA
Akr1c21,0.002776133,0.679797136,2.982748215,0.227909662,0.819716472,NA
Akr1c6,0.088068804,0.517275927,2.854874885,0.181190402,0.856218128,NA
Akr1cl,0.158192977,0.056026747,1.863242247,0.030069491,0.976011632,NA
Akr1d1,0.12246507,0.537989709,2.982241045,0.180397795,0.856840285,NA
Akr1e1,2.361313231,0.328135157,0.235397121,1.393964189,0.163328419,0.377116239
Akr7a5,1.623755758,0.309455382,0.306026148,1.011205689,0.311917993,0.55352354
Akt1,3.780216311,0.346990065,0.194137319,1.787343445,0.073881996,0.225887187
Akt1s1,1.356894882,-0.473370132,0.34013739,-1.391702725,0.164012437,0.377858346
Akt2,3.90540808,-0.174128353,0.182613662,-0.953534096,0.340319529,0.581245713
Akt3,86.93699747,-0.292656294,0.10441459,-2.802829506,0.005065644,0.035402674
Aktip,9.129379676,-0.029800921,0.127578805,-0.233588333,0.815304586,0.916123111
Alad,2.416160263,-0.183899481,0.290016768,-0.634099476,0.526015904,0.741387559
Alas1,5.05266148,-0.022755489,0.17173885,-0.132500534,0.8945884,0.95396815
Alas2,2.104795731,0.814763839,0.282498372,2.884136402,0.003924887,0.029502548
Alb,0.126648007,0.538354839,1.342524429,0.401001894,0.688418729,NA
Alcam,89.31110776,-0.068188956,0.067461036,-1.010790229,0.31211684,0.553564988
Aldh16a1,1.746779498,0.11545653,0.364260982,0.316961015,0.751273184,0.883930355
Aldh18a1,1.751667424,-0.193982167,0.465366081,-0.416837787,0.676797061,0.842585288
Aldh1a1,21.0299529,-0.177003543,0.099251898,-1.783376914,0.074524969,0.227218526
Aldh1a2,0.240637684,-0.964852648,1.01773046,-0.948043403,0.343107359,NA
Aldh1a3,0.16447075,0.316629667,1.150449694,0.275222523,0.783145284,NA
Aldh1a7,1.047089772,-1.295050712,0.3923887,-3.300428149,0.000965374,0.010614672
Aldh1b1,0.350302109,0.473060735,0.703865287,0.672089879,0.50152648,0.722306301
Aldh1l1,0.570135876,-0.028656252,0.605343285,-0.047338844,0.962243169,0.98235257
Aldh1l2,4.107887144,-0.201945855,0.234086261,-0.862698452,0.388303284,0.625221527
Aldh2,6.069702247,0.352315511,0.215940653,1.631538603,0.102776721,0.278194235
Aldh3a1,0.002552335,0.679797055,2.982748215,0.227909634,0.819716493,NA
Aldh3a2,5.698442926,0.191745769,0.170892889,1.122023097,0.261852619,0.502620795
Aldh3b1,0.13698405,0.541560145,1.472037582,0.367898315,0.712949057,NA
Aldh3b2,2.260485853,0.747135173,0.268258344,2.78513303,0.005350577,0.036748663
Aldh3b3,0.03138058,0.246024479,2.982253888,0.082496155,0.934252176,NA
Aldh5a1,5.53109893,0.03328525,0.165884454,0.200653221,0.84096974,0.928498099
Aldh6a1,4.620612925,-0.430824245,0.220434861,-1.954428822,0.050650525,0.175621992
Aldh7a1,4.25969876,0.2609051,0.314488878,0.829616301,0.406755758,0.642094688
Aldh8a1,0.152316133,-0.2840873,1.471768971,-0.193024384,0.846939871,NA
Aldh9a1,3.519822049,0.279003557,0.244462164,1.141295454,0.253746993,0.492539381
Aldoa,5.708681821,0.516779054,0.273936217,1.886494089,0.059228404,0.195837837
Aldoart1,0,NA,NA,NA,NA,NA
Aldoart2,0,NA,NA,NA,NA,NA
Aldob,1.210372606,0.18504785,0.407912503,0.453645938,0.650083684,0.826419604
Aldoc,5.225396739,-0.738748068,0.232399611,-3.178783587,0.001478945,0.014502971
Alg1,2.307490386,0.372694334,0.259410196,1.436698865,0.150803578,0.358064776
Alg10b,0.533805436,1.078629817,0.423659374,2.545983599,0.010897031,0.06056068
Alg11,2.298734643,0.734028227,0.222832666,3.294078196,0.00098745,0.01075302
